customerID,time_on_site_1,time_on_site_2
2607,640,773
2517,849,1078
2582,1085,635
2341,396,523
2429,420,784
2618,787,415
2443,196,815
2272,645,162
2234,657,758
2388,620,742
2513,943,1117
2286,546,326
2211,960,1520
2359,231,890
2088,502,765
2029,227,780
2170,893,1140
2178,1156,607
2236,523,444
2075,543,949
2416,361,216
2224,543,1346
2196,397,1255
2551,880,800
2676,672,925
2153,539,120
2738,1117,748
2605,467,468
2102,104,1254
2005,353,846
2600,898,1191
2200,1174,265
2062,654,610
2492,847,951
2265,725,1173
2107,243,817
2571,1038,548
2650,720,907
2725,768,451
2643,690,753
2002,722,519
2367,829,625
2009,998,612
2017,976,899
2376,837,550
2252,545,67
2432,807,65
2548,842,783
2180,1219,814
2050,474,747
2637,1011,535
2598,703,524
2377,421,779
2350,990,978
2433,319,736
2022,560,388
2537,1026,567
2297,960,1053
2539,780,765
2320,242,822
2104,398,440
2219,1309,389
2039,760,512
2241,391,1180
2083,506,1316
2048,523,736
2342,542,1101
2306,102,1106
2251,973,1005
2073,517,1075
2657,591,651
2152,873,720
2065,355,1256
2086,351,437
2400,562,164
2651,462,856
2375,948,1045
2160,770,1273
2399,650,309
2092,646,904
2384,514,1089
2640,539,647
2137,659,616
2193,953,386
2523,750,1015
2646,875,1312
2609,582,702
2472,556,524
2717,566,836
2031,165,427
2447,399,672
2010,863,898
2287,834,560
2314,433,934
2674,422,797
2715,208,700
2616,610,815
2392,119,979
2576,402,819
2654,65,814
2704,885,831
2555,1112,724
2595,675,1197
2366,177,256
2125,1058,713
2315,301,1101
2155,514,836
2526,761,805
2202,785,814
2509,739,627
2078,1051,1172
2685,349,1355
2239,338,906
2277,913,1095
2730,1067,827
2133,917,990
2593,530,672
2113,455,88
2428,669,725
2214,1035,305
2270,510,1070
2298,670,1085
2165,464,1114
2474,1007,780
2106,358,1091
2181,233,371
2575,217,1014
2316,941,461
2610,612,765
2355,918,648
2479,259,1086
2232,365,415
2041,682,1211
2043,670,638
2225,91,551
2675,1196,501
2139,965,1058
2209,582,922
2449,1141,1003
2293,194,935
2625,785,1090
2044,121,1440
2136,629,452
2120,1225,743
2336,351,905
2269,679,1252
2611,474,752
2194,809,472
2740,541,1188
2053,1188,696
2431,315,851
2198,734,494
2273,659,339
2354,512,1144
2329,750,723
2590,79,531
2213,1088,646
2275,209,74
2025,412,413
2411,689,1084
2060,555,664
2076,515,728
2503,638,777
2634,66,641
2035,628,680
2335,613,336
2557,377,836
2697,396,312
2206,108,663
2682,94,1085
2289,481,749
2465,607,758
2253,437,148
2440,781,696
2116,856,534
2739,1267,667
2169,621,788
2473,982,309
2506,6,786
2294,581,815
2451,199,1110
2470,432,1552
2040,957,925
2418,948,671
2540,760,947
2419,812,688
2313,658,407
2567,649,1174
2101,750,1049
2049,39,439
2054,968,478
2710,686,792
2056,584,118
2114,1279,886
2363,781,1051
2223,576,520
2321,882,1019
2705,856,1072
2623,209,790
2034,875,410
2531,517,487
2128,278,614
2212,544,684
2325,658,715
2047,404,960
2530,575,460
2546,204,760
2507,786,665
2441,976,273
2119,791,419
2554,327,1487
2501,403,1067
2543,791,1354
2444,820,229
2327,1209,565
2089,775,1607
2015,1180,962
2706,701,1176
2687,96,696
2191,502,961
2733,427,699
2182,172,432
2469,748,790
2406,593,712
2162,675,847
2174,353,323
2455,766,335
2004,839,533
2724,504,1122
2562,1179,1289
2240,949,953
2081,949,607
2337,488,624
2505,373,738
2614,1109,718
2302,685,995
2578,423,576
2248,398,820
2033,855,762
2735,385,675
2560,613,747
2201,701,635
2243,367,987
2521,402,462
2007,166,570
2079,583,410
2356,777,446
2063,581,1027
2588,603,1166
2597,350,461
2401,435,969
2456,1013,711
2164,424,605
2245,552,859
2558,962,473
2055,337,883
2496,355,787
2445,630,282
2667,162,1226
2550,332,624
2344,446,640
2249,737,935
2708,624,449
2599,762,540
2012,565,619
2256,578,970
2026,764,931
2589,758,816
2210,493,654
2231,598,839
2290,729,909
2508,703,504
2500,99,1295
2415,758,730
2698,804,742
2672,294,504
2467,1328,369
2664,617,425
2660,662,539
2737,561,1264
2453,1051,891
2633,665,1114
2596,246,523
2227,476,1071
2584,182,942
2352,561,451
2108,603,1472
2527,614,137
2095,509,1289
2090,1045,567
2235,810,942
2328,751,373
2208,523,1249
2493,623,574
2410,880,1106
2438,660,1223
2262,403,563
2278,743,889
2510,266,976
2701,650,400
2110,874,283
2405,324,954
2385,534,254
2096,371,560
2561,700,799
2622,625,837
2042,720,629
2601,313,774
2318,363,1289
2482,719,454
2099,474,473
2066,168,675
2259,396,727
2229,1162,70
2179,179,1044
2038,304,1005
2343,326,527
2635,278,292
2533,526,657
2203,489,947
2319,841,579
2630,596,409
2525,494,136
2142,712,116
2720,385,554
2458,674,299
2580,341,846
2402,1076,847
2188,644,706
2545,1011,688
2434,1170,650
2689,682,671
2008,342,522
2477,702,578
2024,296,745
2190,193,593
2105,127,845
2734,427,681
2216,891,521
2700,415,998
2615,751,626
2163,470,562
2636,296,1075
2226,1262,960
2475,534,402
2032,701,1007
2389,391,1072
2666,627,747
2282,641,523
2656,489,809
2171,846,1104
2404,772,1023
2662,725,486
2577,886,814
2132,1058,472
2442,643,441
2151,942,348
2184,1021,824
2604,438,658
2237,1096,724
2572,844,478
2535,225,768
2134,980,621
2331,1040,257
2619,311,1015
2246,186,739
2488,403,824
2255,287,1118
2587,604,605
2218,968,1116
2361,1221,692
2263,628,856
2059,479,895
2586,796,906
2260,382,464
2019,404,943
2276,584,830
2522,713,404
2684,1227,776
2217,313,680
2285,606,682
2166,638,360
2729,243,415
2215,679,822
2649,642,789
2345,566,745
2423,445,858
2122,854,1075
2070,1284,869
2261,615,279
2222,1019,948
2631,928,1157
2481,767,701
2085,481,606
2673,409,1172
2585,961,636
2435,1408,548
2360,384,659
2424,532,674
2175,132,814
2460,536,882
2459,1025,685
2613,853,713
2719,1134,917
2267,252,980
2018,587,1002
2690,304,1096
2606,374,328
2378,1005,844
2478,1193,834
2037,648,1148
2046,1145,563
2300,412,573
2397,431,1139
2688,794,687
2068,945,174
2417,663,689
2553,598,355
2185,620,504
2464,807,707
2566,415,784
2304,839,1209
2644,407,1119
2145,344,888
2516,496,364
2091,896,433
2574,871,1050
2281,1001,305
2559,880,1134
2322,592,750
2168,718,932
2288,278,1247
2485,973,1040
2386,1005,628
2721,620,930
2001,681,906
2641,736,860
2340,587,1172
2741,438,259
2691,501,560
2187,571,591
2407,707,891
2383,520,977
2082,1365,1226
2426,14,866
2020,1042,1000
2403,1347,960
2524,877,1005
2452,405,1049
2439,687,1059
2333,519,1254
2271,801,1270
2487,281,813
2141,954,1398
2023,882,1296
2461,478,597
2484,334,470
2338,911,470
2542,580,912
2569,390,445
2450,720,512
2471,64,82
2483,1405,384
2131,486,421
2603,280,811
2515,581,561
2280,458,705
2291,645,716
2495,585,1335
2146,778,740
2393,762,854
2014,562,270
2552,401,670
2387,463,381
2395,425,665
2326,584,680
2311,536,516
2486,387,727
2653,787,846
2707,668,736
2279,1094,1010
2045,719,1294
2463,174,775
2728,938,690
2296,374,643
2220,860,600
2197,7,738
2693,827,925
2123,681,546
2716,146,1085
2129,503,908
