isrc,artist_id,artist_name,track_name,streams,weeks_in_charts,n_regions,danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,song_length,song_age,explicit,n_playlists,sp_popularity,youtube_views,tiktok_counts,insta_followers_artist,monthly_listeners_artist,playlist_total_reach_artist,sp_fans_artist,shazam_counts,release_date,genre,label,top10,expert_rating
GBAHS1400092,3648,Ed Sheeran,One,961239,34,7,46.4,32.1,4.18,0,7.89,30.6,93.528,4.21266666666667,407.142857142857,0,3131,48,153721218,240,31799118,54645910,333851354,16312741,669303,2014-06-13,Pop,Warner Music,0,good
GBAHS1700026,3648,Ed Sheeran,Galway Girl,469615424,826,35,62.4,87.6,10,0,32.7,78.1,99.943,2.84711666666667,211.285714285714,0,8356,79,510343160,2400000,31799118,54645910,333851354,16312741,0,2017-03-03,Pop,Warner Music,1,excellent
USUM71707643,5596,Billie Eilish,my boy,20712656,102,9,69.2,39.4,20.7,0.02,11.7,32.4,89.936,2.84753333333333,188.285714285714,0,1300,74,120029140,22400,78388337,47632687,223834163,4355854,445389,2017-07-28,Rock,Universal Music,1,good
GBAHS1100208,3648,Ed Sheeran,Kiss Me,1465017,52,14,58.9,22.7,4.98,0.47,2.48,18.2,74.993,4.68088333333333,497.285714285714,0,4534,72,10254704,15100,31799118,54645910,333851354,16312741,1096147,2011-09-09,Pop,Warner Music,0,good
GBAHS1700024,3648,Ed Sheeran,Perfect,1045189446,1477,35,59.9,44.8,2.32,0,10.6,16.8,95.05,4.39,211.285714285714,0,11770,87,2777890720,195100,31799118,54645910,333851354,16312741,0,2017-02-27,Pop,Warner Music,1,excellent
USUM71900772,5596,Billie Eilish,listen before i go,36231682,70,27,31.9,5.61,4.5,0.38,38.8,8.2,79.764,4.0442,103.285714285714,0,1041,78,788783,815,78388337,47632687,223834163,4355854,251623,2019-03-28,Rock,Universal Music,1,good
GBAHS1400104,3648,Ed Sheeran,I See Fire,164779,9,5,64.1,17.6,3.49,5.14e-4,25.2,29.7,76.031,4.98578333333333,407.142857142857,1,33,0,4732064,0,31799118,54645910,333851354,16312741,6514363,2014-06-16,Pop,Warner Music,0,good
USUM71706941,5596,Billie Eilish,watch,2929,1,1,44.1,60.5,22.8,0.25,10.7,33.5,165.096,2.95871666666667,194.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,good
GBAHS1900797,3648,Ed Sheeran,I Don't Care - Acoustic,16048,4,1,70.6,34.9,3.02,0,10.8,62.4,94.058,3.97033333333333,94.2857142857143,1,499,70,0,3775,31799118,54645910,333851354,16312741,296978,2019-05-31,Pop,Warner Music,0,excellent
USUM71707643,5596,Billie Eilish,my boy,2770987,12,3,69.2,39.4,20.7,0.02,11.7,32.4,89.936,2.84753333333333,169.285714285714,0,1300,74,120029140,22400,78388337,47632687,223834163,4355854,445389,2017-07-28,Rock,Universal Music,0,fair
GBAHS1400099,3648,Ed Sheeran,Thinking out Loud,261089157,1298,35,78.1,44.5,2.95,0,18.4,59.1,78.998,4.69266666666667,407.142857142857,0,22181,82,68299217,4165,31799118,54645910,333851354,16312741,23547900,2014-06-16,Pop,Warner Music,1,fair
GBAHS1100095,3648,Ed Sheeran,The A Team,11087675,197,29,64.2,28.9,3.67,0,18,40.7,84.996,4.30621666666667,497.285714285714,0,11246,76,342110056,14400,31799118,54645910,333851354,16312741,7016016,2011-06-10,Pop,Warner Music,0,good
USUM71900764,5596,Billie Eilish,bad guy,1459149566,724,35,70.1,42.5,37.5,13,10,56.2,135.128,3.2348,103.285714285714,0,10226,87,1070192329,140000,78388337,47632687,223834163,4355854,15967622,2019-03-28,Rock,Universal Music,1,good
GBAHS1400157,3648,Ed Sheeran,Friends,5823,2,1,51.6,15.8,6.72,1.32e-4,22.2,45.5,93.255,3.17565,350.428571428571,1,531,54,1232138,8136,31799118,54645910,333851354,16312741,44294,2014-08-12,Pop,Warner Music,0,good
